Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon.com  laptops/button_Add to cart""))",Chrome 120.0.0.0,,,20-01-2024 19:29:19,20-01-2024 19:29:20,0.888s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,20-01-2024 19:29:20,20-01-2024 19:29:20,0.296s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Validate_Myorders_006,Chrome 120.0.0.0,,,20-01-2024 19:29:20,20-01-2024 19:29:49,29.130s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,20-01-2024 19:29:20,20-01-2024 19:29:21,1.149s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,20-01-2024 19:29:21,20-01-2024 19:29:23,1.971s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon.com/input_field-keywords""), ""RNUBAE"")",Chrome 120.0.0.0,,,20-01-2024 19:29:23,20-01-2024 19:29:24,1.072s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon.com/button_Continue shopping""))",Chrome 120.0.0.0,,,20-01-2024 19:29:24,20-01-2024 19:29:25,0.831s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon.com. Spend less. Smile more/span_Orders""))",Chrome 120.0.0.0,,,20-01-2024 19:29:25,20-01-2024 19:29:45,19.288s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon Sign-In/input_email""), ""sivakumarkottana2000@gmail.com"")",Chrome 120.0.0.0,,,20-01-2024 19:29:45,20-01-2024 19:29:45,0.895s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 120.0.0.0,,,20-01-2024 19:29:45,20-01-2024 19:29:48,2.297s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon Sign-In/input_password""), ""DTj8m5Ry/xZVxpyMM/dUZQ=="")",Chrome 120.0.0.0,,,20-01-2024 19:29:48,20-01-2024 19:29:49,0.804s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_my orders_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 120.0.0.0,,,20-01-2024 19:29:49,20-01-2024 19:29:49,0.467s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,20-01-2024 19:29:49,20-01-2024 19:29:49,0.234s,PASSED
